slug,title,language,category,status,deep,network,hosts,platforms,added_date,updated_date,tags,path
the-joe-rogan-experience,The Joe Rogan Experience,en,comedy,active,True,Independent (Joe Rogan),Joe Rogan,Spotify / YouTube,2026-08-03,2026-08-05,longform-interview / comedy / culture / sports / controversy,podcasts/en/comedy/the-joe-rogan-experience.md
99-invisible,99% Invisible,en,culture,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/culture/99-invisible.md
armchair-expert,Armchair Expert,en,culture,active,True,Amazon Wondery,Dax Shepard / Monica Padman (co-host / producer),Apple Podcasts / Spotify / YouTube / Amazon Music / Wondery+,2026-08-03,2026-08-05,celebrity-interview / psychology / recovery / longform-interview,podcasts/en/culture/armchair-expert.md
beautiful-stories,Beautiful Stories from Anonymous People,en,culture,todo,False,,,,2026-09-11,2026-09-11,field-research / 方法论范本 / intimate-topics / anonymous-call / interview-format,podcasts/en/culture/beautiful-stories.md
call-her-daddy,Call Her Daddy,en,culture,active,True,"SiriusXM(2024 起,~$125M/3 年;Unwell Network 全球广告代理)",Alex Cooper — Unwell Network 创始人,Apple Podcasts / Spotify / YouTube / SiriusXM app(Podcasts+ 无广告层),2026-08-05,2026-09-04,women / relationships / sex / comedy / interview / unwell-network,podcasts/en/culture/call-her-daddy.md
dear-sugars,Dear Sugars,en,culture,todo,False,,,,2026-09-11,2026-09-11,field-research / 方法论范本 / longform-interview / intimate-topics / advice-format,podcasts/en/culture/dear-sugars.md
death-sex-money,"Death, Sex & Money",en,culture,todo,False,,,,2026-09-11,2026-09-11,field-research / 方法论范本 / longform-interview / intimate-topics / profile,podcasts/en/culture/death-sex-money.md
decoder-ring,Decoder Ring,en,culture,todo,False,,,,2026-09-11,2026-09-11,field-research / 行业案例 / cultural-investigation / narrative-nonfiction / micro-history,podcasts/en/culture/decoder-ring.md
ear-hustle,Ear Hustle,en,culture,active,True,PRX + Radiotopia(2019-2022) + Ear Hustle Inc.(2023 起独立),"Earlonne Woods(联合主理,前 San Quentin 州立监狱服刑 21 年,2018 出狱) / Nigel Poor(联合主理,艺术家 / 摄影学者,Sacramento 州立大学教授)",Apple Podcasts / Spotify / PRX.org / earhustlesq.com,2026-09-11,2026-09-11,field-research / 方法论范本 / embedded / scene-tape / oral-history,podcasts/en/culture/ear-hustle.md
everything-is-alive,Everything is Alive,en,culture,todo,False,,,,2026-09-11,2026-09-11,field-research / 方法论范本 / interview-format / creative-process / narrative-nonfiction,podcasts/en/culture/everything-is-alive.md
fresh-air,Fresh Air,en,culture,active,True,WHYY / NPR,Terry Gross / Tonya Mosley,Apple Podcasts / Spotify / NPR One,2026-08-03,2026-08-03,interview / arts / culture / journalism / current-affairs,podcasts/en/culture/fresh-air.md
giggly-squad,Giggly Squad,en,culture,active,True,独立出品(分发合作方待核;原档注 Acast),Hannah Berner — 喜剧演员 /《Summer House》前主演 / Paige DeSorbo — 时尚评论人 /《Summer House》前主演,Apple Podcasts / Spotify / YouTube(视频播客) / Substack(会员),2026-08-05,2026-09-04,comedy / pop-culture / reality-tv / fashion / women / live-tour,podcasts/en/culture/giggly-squad.md
heavyweight,Heavyweight,en,culture,todo,False,,,,2026-09-11,2026-09-11,field-research / 方法论范本 / longform-interview / profile / narrative-nonfiction,podcasts/en/culture/heavyweight.md
invisibilia,Invisibilia,en,culture,todo,False,,,,2026-09-11,2026-09-11,field-research / 方法论范本 / behavioral-science / narrative-nonfiction / documentary,podcasts/en/culture/invisibilia.md
longform,Longform,en,culture,todo,False,,,,2026-09-11,2026-09-11,field-research / 方法论范本 / longform-interview / meta-methodology / writer-craft,podcasts/en/culture/longform.md
love-and-radio,Love + Radio,en,culture,todo,False,,,,2026-09-11,2026-09-11,field-research / 行业案例 / narrative-nonfiction / intimate-topics / profile,podcasts/en/culture/love-and-radio.md
modern-wisdom,Modern Wisdom,en,culture,todo,False,Chris Williamson 独立出品,Chris Williamson（YouTuber / 播客主）,Apple Podcasts / Spotify / YouTube,2026-09-04,2026-09-04,男性成长 / 文化 / 心理 / 长访谈,podcasts/en/culture/modern-wisdom.md
on-purpose-with-jay-shetty,On Purpose with Jay Shetty,en,culture,active,True,Spotify / Netflix (2026 三年期联合发行协议),Jay Shetty,Spotify / Apple Podcasts / YouTube / Netflix,2026-08-03,2026-08-05,wellness / mindfulness / longform-interview / self-improvement / celebrity-interview,podcasts/en/culture/on-purpose-with-jay-shetty.md
on-the-media,On the Media,en,culture,todo,False,,,,2026-09-11,2026-09-11,field-research / 方法论范本 / meta-journalism / media-criticism / news-analysis,podcasts/en/culture/on-the-media.md
s-town,S-Town,en,culture,todo,False,,,,2026-09-11,2026-09-11,field-research / 方法论范本 / investigative-reporting / embedded / narrative-nonfiction,podcasts/en/culture/s-town.md
scene-on-radio,Scene on Radio,en,culture,todo,False,,,,2026-09-11,2026-09-11,field-research / 方法论范本 / narrative-nonfiction / documentary / power-and-culture,podcasts/en/culture/scene-on-radio.md
sold-out,Sold Out,en,culture,todo,False,,,,2026-09-11,2026-09-11,field-research / 行业案例 / investigative-reporting / housing / urban-policy,podcasts/en/culture/sold-out.md
song-exploder,Song Exploder,en,culture,todo,False,,,,2026-09-11,2026-09-11,field-research / 方法论范本 / deconstruction / interview-format / creative-process,podcasts/en/culture/song-exploder.md
storycorps,StoryCorps,en,culture,todo,False,,,,2026-09-11,2026-09-11,field-research / 方法论范本 / oral-history / archive-project / live-event,podcasts/en/culture/storycorps.md
strangers,Strangers,en,culture,todo,False,,,,2026-09-11,2026-09-11,field-research / 方法论范本 / longform-interview / intimate-topics / profile,podcasts/en/culture/strangers.md
the-breakfast-club,The Breakfast Club,en,culture,active,True,iHeartMedia(Power 105.1 晨间广播)× Netflix(2026-06-01 起每日直播),"Charlamagne Tha God(Lenard McKelvey) / DJ Envy(RaaShaun Casey) / Jess Hilarious(Jessica Moore,2024-01 起常驻)",广播 Power 105.1 (WWPR-FM) / Netflix(每日直播) / Apple Podcasts / Spotify / YouTube / iHeartRadio,2026-08-05,2026-09-04,hip-hop / morning-show / radio / interview / black-culture / netflix,podcasts/en/culture/the-breakfast-club.md
diary-of-a-ceo,The Diary Of A CEO,en,culture,active,True,Independent (Steven Bartlett),Steven Bartlett,Apple Podcasts / Spotify / YouTube,2026-08-03,2026-08-05,longform-interview / entrepreneurship / psychology / self-improvement / business,podcasts/en/culture/diary-of-a-ceo.md
the-documentary,The Documentary,en,culture,todo,False,,,,2026-09-11,2026-09-11,field-research / 方法论范本 / investigative-reporting / global-field-reporting / documentary,podcasts/en/culture/the-documentary.md
the-experiment,The Experiment,en,culture,todo,False,,,,2026-09-11,2026-09-11,field-research / 方法论范本 / narrative-nonfiction / longform-interview / documentary,podcasts/en/culture/the-experiment.md
the-joe-budden-podcast,The Joe Budden Podcast,en,culture,active,True,独立(Joe Budden Network;CEO Ian Schwartzman),Joe Budden — 说唱歌手转型的主播 / 文化评论人,YouTube(直播) / Apple Podcasts / Spotify / Patreon(会员层),2026-08-05,2026-09-04,hip-hop / music / culture / commentary / patreon / independent,podcasts/en/culture/the-joe-budden-podcast.md
the-mel-robbins-podcast,The Mel Robbins Podcast,en,culture,active,True,SiriusXM(2024 起多年期约;另有一档 SiriusXM 独家周更节目),Mel Robbins — 励志演说家 /《The 5 Second Rule》《The Let Them Theory》作者,Apple Podcasts / Spotify / YouTube / SiriusXM app(Podcasts+ 早听 / 无广告),2026-08-05,2026-09-04,self-improvement / motivation / mental-health / women / siriusxm,podcasts/en/culture/the-mel-robbins-podcast.md
the-memory-palace,The Memory Palace,en,culture,todo,False,,,,2026-09-11,2026-09-11,field-research / 方法论范本 / historical-narrative / micro-history / documentary,podcasts/en/culture/the-memory-palace.md
the-moth,The Moth,en,culture,active,True,The Moth(独立非营利),"George Dawes Green(创始人,1997 起至今) / 轮值主持人(Moth Mainstage / SLAM Showcase 主持人)",Apple Podcasts / Spotify / themoth.org(完整文字稿 + 音频),2026-09-11,2026-09-11,field-research / 行业案例 / oral-history / live-event / storytelling,podcasts/en/culture/the-moth.md
new-yorker-radio-hour,The New Yorker Radio Hour,en,culture,todo,False,,,,2026-09-11,2026-09-11,field-research / 行业案例 / literary-journalism / longform-interview / cultural-reporting,podcasts/en/culture/new-yorker-radio-hour.md
the-profile,The Profile,en,culture,todo,False,,,,2026-09-11,2026-09-11,field-research / 方法论范本 / short-interview / profile / archive-format,podcasts/en/culture/the-profile.md
the-school-of-greatness,The School of Greatness,en,culture,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/culture/the-school-of-greatness.md
the-telepathy-tapes,The Telepathy Tapes,en,culture,todo,False,Ky Dickens 独立出品,"Ky Dickens（纪录片导演,《The Science of Seance》《The 13th Step》导演）",Apple Podcasts / Spotify,2026-09-04,2026-09-04,超心理学 / 纪录片 / 神秘,podcasts/en/culture/the-telepathy-tapes.md
the-tim-ferriss-show,The Tim Ferriss Show,en,culture,active,True,Independent (Tim Ferriss),Tim Ferriss,Apple Podcasts / Spotify / YouTube,2026-08-03,2026-08-03,longform-interview / self-improvement / business / performance / lifestyle,podcasts/en/culture/the-tim-ferriss-show.md
this-american-life,This American Life,en,culture,active,True,WBEZ Chicago(主) + PRX(分发),"Ira Glass(创始人/主理,1995 起至今)",Apple Podcasts / Spotify / WBEZ 官网 / 公广播电台(全美 500+ 站),2026-09-11,2026-09-11,field-research / 方法论范本 / narrative-nonfiction / scene-tape / longform-interview,podcasts/en/culture/this-american-life.md
wtf-with-marc-maron,WTF with Marc Maron,en,culture,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/culture/wtf-with-marc-maron.md
wind-of-change,Wind of Change,en,culture,todo,False,,,,2026-09-11,2026-09-11,field-research / 行业案例 / investigative-reporting / cold-war-history / longform-narrative,podcasts/en/culture/wind-of-change.md
50-things-that-made-the-modern-economy,50 Things That Made the Modern Economy,en,education,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/education/50-things-that-made-the-modern-economy.md
freakonomics-radio,Freakonomics Radio,en,education,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/education/freakonomics-radio.md
stuff-you-should-know,Stuff You Should Know,en,education,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/education/stuff-you-should-know.md
ted-talks-daily,TED Talks Daily,en,education,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/education/ted-talks-daily.md
mind-pump-podcast,Mind Pump Podcast,en,health,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/health/mind-pump-podcast.md
the-doctor-s-farmacy,The Doctor's Farmacy,en,health,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/health/the-doctor-s-farmacy.md
the-model-health-show,The Model Health Show,en,health,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/health/the-model-health-show.md
hardcore-history,Dan Carlin's Hardcore History,en,history,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/history/hardcore-history.md
fall-of-civilizations,Fall of Civilizations,en,history,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/history/fall-of-civilizations.md
revolutions,Revolutions,en,history,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/history/revolutions.md
the-history-of-rome,The History of Rome,en,history,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/history/the-history-of-rome.md
the-rest-is-history,The Rest is History,en,history,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/history/the-rest-is-history.md
throughline,Throughline,en,history,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/history/throughline.md
consider-this-from-npr,Consider This from NPR,en,news,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/news/consider-this-from-npr.md
in-the-dark,In the Dark,en,news,todo,False,,,,2026-09-11,2026-09-11,field-research / 方法论范本 / investigative-reporting / serialized-investigation / criminal-justice,podcasts/en/news/in-the-dark.md
new-heights,New Heights,en,news,active,True,Wave Sports + Entertainment(制作)× iHeartMedia(分发),"Jason Kelce — 前费城老鹰队中锋,Super Bowl LII 冠军 / Travis Kelce — 堪萨斯酋长队近端锋,Super Bowl LVII / LVIII 冠军",Apple Podcasts / Spotify / YouTube,2026-08-05,2026-09-04,sports / NFL / football / celebrity / interview,podcasts/en/news/new-heights.md
pardon-my-take,Pardon My Take,en,news,active,True,Barstool Sports,"Dan ""Big Cat"" Katz / PFT Commenter(Eric Sollenberger)","Apple Podcasts / Spotify / YouTube / Netflix(2026 起,视频版)",2026-08-05,2026-09-04,sports / comedy / NFL / barstool / morning-show,podcasts/en/news/pardon-my-take.md
planet-money,Planet Money,en,news,active,True,NPR,Rotating (NPR economics reporters),Apple Podcasts / Spotify / YouTube,2026-08-03,2026-08-03,economics / business / narrative / journalism / explainer,podcasts/en/news/planet-money.md
